SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2023,Nate Lashley,40,"$1,749,031",455,32,107,21,3,0,69.8,297.4,60.7,69.7,1.742,47.6,4.056
2023,Robby Shelton,28,"$1,743,610",467,35,104,18,3,0,70.3,294.1,59.1,65.5,1.761,61,3.721
2022,Lanto Griffin,35,"$1,717,566",592,23,78,16,4,0,70.5,301.6,58.3,65.5,1.745,47.6,3.846
2022,Beau Hossler,28,"$1,716,430",593,23,70,13,2,0,71.1,309.3,52.1,63.5,1.756,49.1,3.471
2023,David Lipsky,35,"$1,716,258",450,35,103,19,2,0,70.5,292.7,63.2,67.5,1.771,46.1,3.728
2022,Hudson Swafford,36,"$1,714,926",640,21,64,11,1,1,70.8,307.4,60.8,66.8,1.759,52.4,4.031
2022,Joel Dahmen,36,"$1,712,942",524,26,85,18,3,0,70.4,292.1,67.9,67.9,1.768,46.5,3.835
2023,Carson Young,29,"$1,707,716",397,35,99,17,2,0,70.2,295.6,65.6,69.6,1.76,43.2,3.798
2022,Russell Knox,38,"$1,683,424",514,28,89,17,2,0,70.2,293.7,66.9,71.4,1.795,40.5,3.382
2022,Brendon Todd,38,"$1,659,052",607,25,83,17,2,0,70,279,69.3,65,1.751,52.9,3.759
2023,Kevin Streelman,45,"$1,636,664",505,31,96,17,2,0,70.7,297.3,59.8,66.6,1.792,49.4,3.427
2022,John Huh,33,"$1,631,948",612,26,74,14,2,0,70,292,66.4,66.8,1.734,54.4,3.973
2022,Alex Smalley,27,"$1,631,567",701,30,93,17,3,0,70.1,306.5,60.4,68.3,1.775,51.8,3.71
2023,Vincent Norrman,25,"$1,628,489",670,29,85,16,3,1,70,314.2,57.8,69,1.764,48.3,4
2023,Greyson Sigg,28,"$1,615,856",420,34,105,20,2,0,69.8,295.8,61.4,69.3,1.759,49.6,3.752
2023,Joseph Bramlett,35,"$1,597,911",489,26,80,15,3,0,70,312.4,51.9,68.3,1.756,53.8,3.888
2023,Harry Hall,26,"$1,564,358",499,34,102,19,3,0,70,299.8,54,66.4,1.726,56.7,4.069
2023,Will Zalatoris,27,"$1,474,780",244,8,0,6,1,0,0,0,0,0,0,0,0
2022,Wyndham Clark,29,"$1,544,055",662,30,97,21,3,0,70.3,319,52.6,65.2,1.769,55.5,3.732
2022,Matt NeSmith,30,"$1,539,142",576,28,92,19,2,0,70.5,298,63.7,68.5,1.787,43.8,3.598
2023,Chad Ramey,31,"$1,513,390",362,35,101,19,1,0,70.4,294.3,60.9,66.8,1.752,49.3,3.891
2023,Chesson Hadley,36,"$1,503,167",304,32,94,17,3,0,69.9,299.3,58.3,69.3,1.74,54.7,4.085
2022,Matthew Wolff,24,"$1,485,181",572,16,47,9,2,0,71.3,318.4,50,62.2,1.745,44.6,3.809
2022,Brandon Wu,26,"$1,472,515",586,26,74,11,4,0,70.3,295.3,62.1,69.2,1.765,48.9,3.743
2023,Matt Wallace,33,"$1,451,971",548,28,84,15,2,1,70.7,302.7,54.8,64.6,1.783,51.4,3.536
2023,Will Gordon,27,"$1,449,632",440,35,111,21,1,0,70.1,311.4,61.6,70.8,1.76,51.9,4.054
2023,Doug Ghim,27,"$1,437,263",345,31,93,16,0,0,69.9,297.7,67.8,71.5,1.781,48.9,3.806
2023,Tyson Alexander,35,"$1,433,633",425,35,95,14,2,0,71.1,299.5,53.3,63.9,1.766,53.5,3.611
2022,Justin Rose,43,"$1,426,994",458,18,54,12,2,0,70.3,299.5,61,64.9,1.723,46.3,3.907
2023,Justin Lower,34,"$1,426,711",430,37,109,19,3,0,70.3,294.2,59.4,66.6,1.74,55.6,3.982
2023,Trey Mullinax,31,"$1,413,549",291,27,71,10,2,0,71.5,311.8,48.9,63.5,1.799,46.1,3.549
2023,Ben Martin,36,"$1,379,841",387,34,103,18,3,0,70.1,293.9,62.5,68.2,1.743,50.3,4.01
2022,Lee Hodges,28,"$1,377,251",637,29,93,18,2,0,70.2,300.3,61.7,69.1,1.791,44.2,3.559
2023,Peter Malnati,36,"$1,369,804",354,35,95,14,2,0,70.8,295.2,51.6,62.8,1.747,54.8,3.758
2022,Adam Long,36,"$1,364,131",564,28,88,17,0,0,70,291.6,64.7,67.2,1.755,54.7,3.625
2022,Kevin Streelman,45,"$1,354,092",509,27,88,16,2,0,70.2,295.8,69.5,66.5,1.775,52.7,3.534
